Date : 2022-10-28 01:21:26
Directory : /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src
Total : 225 files,  22908 codes, 2219 comments, 2200 blanks, all 27327 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        106 |     11,344 |        490 |      1,056 |     12,890 |
| CSS        |         42 |      5,277 |        467 |        706 |      6,450 |
| JavaScript |         66 |      4,515 |      1,249 |        108 |      5,872 |
| Less       |         10 |      1,771 |         13 |        330 |      2,114 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |        225 |     22,908 |      2,219 |      2,200 |     27,327 |
| assets                                                                                                   |         10 |      1,771 |         13 |        330 |      2,114 |
| assets/less                                                                                              |         10 |      1,771 |         13 |        330 |      2,114 |
| css                                                                                                      |          4 |        347 |        104 |         81 |        532 |
| css/content-theme                                                                                        |          4 |        347 |        104 |         81 |        532 |
| images                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| js                                                                                                       |        104 |      9,445 |      1,612 |        733 |     11,790 |
| js/abcjs                                                                                                 |          1 |          1 |          2 |          0 |          3 |
| js/echarts                                                                                               |          1 |          1 |         19 |          4 |         24 |
| js/flowchart.js                                                                                          |          1 |          3 |          4 |          2 |          9 |
| js/graphviz                                                                                              |          2 |        321 |         29 |         74 |        424 |
| js/highlight.js                                                                                          |         40 |      6,644 |        368 |        624 |      7,636 |
| js/highlight.js/styles                                                                                   |         37 |      4,929 |        363 |        624 |      5,916 |
| js/i18n                                                                                                  |          6 |        510 |          0 |          6 |        516 |
| js/icons                                                                                                 |          2 |        369 |          0 |          2 |        371 |
| js/katex                                                                                                 |          3 |          3 |          1 |          3 |          7 |
| js/lute                                                                                                  |          1 |         59 |          0 |          5 |         64 |
| js/mathjax                                                                                               |         45 |      1,532 |      1,188 |         12 |      2,732 |
| js/mathjax/a11y                                                                                          |          4 |          4 |          0 |          0 |          4 |
| js/mathjax/input                                                                                         |         32 |         32 |          0 |          0 |         32 |
| js/mathjax/input/mml                                                                                     |          1 |          1 |          0 |          0 |          1 |
| js/mathjax/input/tex                                                                                     |         26 |         26 |          0 |          0 |         26 |
| js/mathjax/input/tex/extensions                                                                          |         26 |         26 |          0 |          0 |         26 |
| js/mathjax/sre                                                                                           |          8 |      1,495 |      1,188 |         12 |      2,695 |
| js/mathjax/sre/mathmaps                                                                                  |          6 |      1,038 |          0 |         12 |      1,050 |
| js/mermaid                                                                                               |          1 |          1 |          1 |          1 |          3 |
| js/plantuml                                                                                              |          1 |          1 |          0 |          0 |          1 |
| ts                                                                                                       |        104 |     10,870 |        435 |      1,003 |     12,308 |
| ts/devtools                                                                                              |          1 |         78 |          0 |          6 |         84 |
| ts/export                                                                                                |          1 |         76 |          0 |          6 |         82 |
| ts/hint                                                                                                  |          1 |        249 |          5 |         23 |        277 |
| ts/ir                                                                                                    |          6 |        960 |         63 |        113 |      1,136 |
| ts/markdown                                                                                              |         20 |      1,097 |          4 |         90 |      1,191 |
| ts/outline                                                                                               |          1 |         43 |          0 |          5 |         48 |
| ts/preview                                                                                               |          2 |        290 |          8 |         19 |        317 |
| ts/resize                                                                                                |          1 |         47 |          0 |         11 |         58 |
| ts/sv                                                                                                    |          4 |        665 |         43 |         47 |        755 |
| ts/tip                                                                                                   |          1 |         34 |          1 |          5 |         40 |
| ts/toolbar                                                                                               |         28 |      1,246 |          8 |        132 |      1,386 |
| ts/ui                                                                                                    |          5 |        213 |          5 |         42 |        260 |
| ts/undo                                                                                                  |          1 |        225 |         10 |         24 |        259 |
| ts/upload                                                                                                |          3 |        250 |          1 |         32 |        283 |
| ts/util                                                                                                  |         18 |      2,826 |        178 |        209 |      3,213 |
| ts/wysiwyg                                                                                               |         10 |      2,509 |        107 |        235 |      2,851 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                 | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/assets/less/_content.less                       | Less       |        245 |          0 |         39 |        284 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/assets/less/_hint.less                          | Less       |         60 |          0 |          8 |         68 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/assets/less/_ir.less                            | Less       |        228 |          1 |         47 |        276 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/assets/less/_panel.less                         | Less       |         92 |          6 |         13 |        111 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/assets/less/_reset.less                         | Less       |        505 |          0 |         99 |        604 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/assets/less/_sv.less                            | Less       |        107 |          0 |         26 |        133 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/assets/less/_toolbar.less                       | Less       |        155 |          0 |         26 |        181 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/assets/less/_tooltipped.less                    | Less       |        146 |          6 |         20 |        172 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/assets/less/_wysiwyg.less                       | Less       |        163 |          0 |         33 |        196 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/assets/less/index.less                          | Less       |         70 |          0 |         19 |         89 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/css/content-theme/ant-design.css                | CSS        |        154 |         26 |         31 |        211 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/css/content-theme/dark.css                      | CSS        |         76 |         26 |         22 |        124 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/css/content-theme/light.css                     | CSS        |         59 |         26 |         17 |        102 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/css/content-theme/wechat.css                    | CSS        |         58 |         26 |         11 |         95 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/images/img-loading.svg                          | XML        |          1 |          0 |          0 |          1 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/index.ts                                        | TypeScript |        432 |         35 |         49 |        516 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/abcjs/abcjs_basic.min.js                     | JavaScript |          1 |          2 |          0 |          3 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/echarts/echarts.min.js                       | JavaScript |          1 |         19 |          4 |         24 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/flowchart.js/flowchart.min.js                | JavaScript |          3 |          4 |          2 |          9 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/graphviz/full.render.js                      | JavaScript |         65 |          6 |         19 |         90 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/graphviz/viz.js                              | JavaScript |        256 |         23 |         55 |        334 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/highlight.pack.js               | JavaScript |      1,612 |          5 |          0 |      1,617 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/solidity.min.js                 | JavaScript |         73 |          0 |          0 |         73 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/abap.css                 | CSS        |        136 |          5 |         15 |        156 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/algol.css                | CSS        |        121 |          3 |         20 |        144 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/algol_nu.css             | CSS        |         80 |          5 |          6 |         91 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/ant-design.css           | CSS        |        325 |         65 |         80 |        470 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/arduino.css              | CSS        |        136 |          5 |         17 |        158 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/autumn.css               | CSS        |        118 |          9 |         12 |        139 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/borland.css              | CSS        |        127 |          5 |         16 |        148 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/bw.css                   | CSS        |        127 |          5 |         19 |        151 |
