"filename", "language", "TypeScript", "comment", "blank", "total"
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/wysiwyg/afterRenderEvent.ts", "TypeScript", 39, 1, 6, 46
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/wysiwyg/highlightToolbarWYSIWYG.ts", "TypeScript", 1233, 20, 71, 1324
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/wysiwyg/index.ts", "TypeScript", 710, 35, 47, 792
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/wysiwyg/inlineTag.ts", "TypeScript", 113, 4, 13, 130
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/wysiwyg/input.ts", "TypeScript", 170, 18, 25, 213
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/wysiwyg/processKeydown.ts", "TypeScript", 287, 37, 40, 364
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/wysiwyg/renderDomByMd.ts", "TypeScript", 15, 0, 4, 19
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/wysiwyg/setHeading.ts", "TypeScript", 39, 2, 3, 44
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/wysiwyg/showCode.ts", "TypeScript", 30, 0, 3, 33
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/wysiwyg/toolbarEvent.ts", "TypeScript", 303, 7, 24, 334
"Total", "-", 2939, 124, 236, 3299
